web-scraper-start-url,news_link,news_link-href,title,author,date
"http://www.cnn.com/politics","Trump's FCC moves quickly to upend internet, media rules","http://money.cnn.com/2017/11/22/technology/trump-fcc-policies/index.html","null","null","null"
"http://www.cnn.com/politics","The DNC's fundraising is as bad as it looks, in 2 charts","http://www.cnn.com/2017/11/22/politics/dnc-rnc-fundraising-election-day/index.html","The DNC's fundraising is as bad as it looks, in 2 charts","By Ryan Struyk, CNN","Updated 1:13 PM ET, Wed November 22, 2017"
"http://www.cnn.com/politics","Moore is using Trump's playbook — and Trump is helping him out","http://www.cnn.com/2017/11/22/politics/roy-moore-trump-sexual-accusers/index.html","Roy Moore is using Trump's playbook -- and Trump is helping him out","Analysis by Gregory Krieg, CNN","Updated 4:03 PM ET, Wed November 22, 2017"
"http://www.cnn.com/politics","Judge schedules hearing for American accused of fighting for ISIS","http://www.cnn.com/2017/11/22/politics/judge-schedules-hearing-american-accused-isis/index.html","Judge schedules hearing for American accused of fighting for ISIS","By Jamie Crawford, CNN","Updated 2:19 PM ET, Wed November 22, 2017"
"http://www.cnn.com/politics","National Park Service doesn't object to sale of Trump wine at park","http://www.cnn.com/2017/11/22/politics/trump-wine-national-park/index.html","National Park Service doesn't object to sale of Trump wine at park","By Gregory Wallace, CNN","Updated 12:56 PM ET, Wed November 22, 2017"
"http://www.cnn.com/politics","Texas Rep. apologizes for not having 'better judgment' after anonymous tweet of graphic image","http://www.cnn.com/2017/11/22/politics/texas-joe-barton-apology-graphic-picture/index.html","Texas Rep. apologizes for not having 'better judgment' after anonymous tweet of graphic image","By MJ Lee and Juana Summers, CNN","Updated 4:22 PM ET, Wed November 22, 2017"
