web-scraper-start-url,news_link,news_link-href,title,author,date
"http://www.cnn.com/politics","Documents show involvement of Zinke's wife on official trip","http://www.cnn.com/2017/11/21/politics/zinke-wife-travel/index.html","Documents show involvement of Zinke's wife on official trip","By Ashley Killough and Gregory Wallace, CNN","Updated 8:44 PM ET, Tue November 21, 2017"
"http://www.cnn.com/politics","Moore campaign: 'We don't believe these women'","http://www.cnn.com/2017/11/21/politics/roy-moore-campaign-allegations/index.html","Moore campaign: 'We don't believe these women'","By Eli Watkins, CNN","Updated 5:38 PM ET, Tue November 21, 2017"
"http://www.cnn.com/politics","North Korea denounces US terror listing as a 'serious provocation'","http://www.cnn.com/2017/11/22/asia/north-korea-us-terror-provocation/index.html","North Korea denounces US terror listing as a 'serious provocation'","By Ben Westcott, CNN","Updated 8:49 AM ET, Wed November 22, 2017"
"http://www.cnn.com/politics","Sen. Murkowski supports Obamacare repeal mandate","http://www.cnn.com/2017/11/21/politics/murkowski-obamacare-repeal-mandate/index.html","Sen. Murkowski supports Obamacare repeal mandate","By Greg Clary, CNN","Updated 10:00 PM ET, Tue November 21, 2017"
"http://www.cnn.com/politics","Navy aircraft crashes in Philippine Sea","http://www.cnn.com/2017/11/22/politics/navy-aircraft-crash/index.html","Navy aircraft crash leaves 3 missing in Philippine Sea","By Madison Park and Jason Hanna, CNN","Updated 11:32 AM ET, Wed November 22, 2017"
"http://www.cnn.com/politics","House Ethics Committee investigating Conyers allegations","http://www.cnn.com/2017/11/21/politics/michigan-rep-john-conyers-democrat-sexual-harassment-settlement/index.html","House Ethics Committee investigating Conyers allegations","By Daniella Diaz, CNN","Updated 6:45 PM ET, Tue November 21, 2017"
"http://www.cnn.com/politics","Tillerson: Myanmar clearly 'ethnic cleansing' the Rohingya","http://www.cnn.com/2017/11/22/politics/tillerson-myanmar-ethnic-cleansing/index.html","Tillerson: Myanmar clearly 'ethnic cleansing' the Rohingya","By Ben Westcott and Laura Koran, CNN","Updated 4:32 PM ET, Wed November 22, 2017"
